T,Eye0_fr,Eye1_fr,Scene_fr,L_gv_1,L_gv_2,L_gv_3,R_gv_1,R_gv_2,R_gv_3,Confidence,POR_1,POR_2,L_pd,R_pd
535433.6547735,NaN,NaN,NaN,-0.423213632456083,-0.283164826389847,0.860643888259794,0.671926088190602,-0.230663698579708,0.703782345733684,1,588.989021978324,967.666585799743,118.758422792202,-3.06092365179842
535433.6589735,NaN,NaN,NaN,-0.423213632456083,-0.283164826389847,0.860643888259794,0.671865641602049,-0.230952238461233,0.703745424982936,1,588.655255592245,967.581367707091,110.65470399369,-2.60327601443934
535433.6631735,NaN,NaN,NaN,-0.423092909974081,-0.282524648111054,0.86091359191233,0.671865641602049,-0.230952238461233,0.703745424982936,1,589.230012799495,967.77328720405,102.944921699301,-2.16530889007699
535433.6673735,NaN,NaN,NaN,-0.423092909974081,-0.282524648111054,0.86091359191233,0.67189753935,-0.230991548360509,0.703702068493074,1,589.217693969914,967.816761351412,95.6192756466349,-1.74659350591091
535433.6715735,NaN,NaN,NaN,-0.423582346526967,-0.282526330262373,0.860672335107377,0.67189753935,-0.230991548360509,0.703702068493074,1,589.440387435329,967.057815456316,88.6679663645682,-1.34670113451295
535433.6757735,NaN,NaN,NaN,-0.423582346526967,-0.282526330262373,0.860672335107377,0.67191963077534,-0.23056699571568,0.703820197398013,1,589.876235161903,967.091531224178,82.0811930174549,-0.965202970073126
535433.6799735,NaN,NaN,NaN,-0.42286933106155,-0.28293599461349,0.860888350368172,0.67191963077534,-0.23056699571568,0.703820197398013,1,589.146288297135,968.193557215381,75.8491559355375,-0.601670273784548
535433.6841735,NaN,NaN,NaN,-0.42286933106155,-0.28293599461349,0.860888350368172,0.671956936944768,-0.230807402299251,0.70370577511889,1,588.940676375645,968.242988444168,69.9620553703978,-0.25567430285661
535433.6883735,NaN,NaN,NaN,-0.42316530349967,-0.282580991989188,0.86085951750587,0.671956936944768,-0.230807402299251,0.70370577511889,1,589.425568926092,967.787108901258,64.4100906043807,0.0732137425450885
535433.6925735,NaN,NaN,NaN,-0.42316530349967,-0.282580991989188,0.86085951750587,0.671645244873004,-0.230937202179898,0.70396070464821,1,589.040723489518,967.35864034487,59.1834620483714,0.385422595824288
535433.6967735,NaN,NaN,NaN,-0.423085779262987,-0.282754000095709,0.860841796624274,0.671645244873004,-0.230937202179898,0.70396070464821,1,588.834162920719,967.480517771511,54.2723694793017,0.681381027789588
535433.7009735,NaN,NaN,NaN,-0.423085779262987,-0.282754000095709,0.860841796624274,0.671854866059368,-0.230909029292969,0.703769890762121,1,589.034688183456,967.768162241303,49.6670127090872,0.961517807447869
535433.7051735,NaN,NaN,NaN,-0.422867935152437,-0.282756933090442,0.860947864977434,0.671854866059368,-0.230909029292969,0.703769890762121,1,588.932072845935,968.10554264647,45.3575919282237,1.2262616807368
535433.7093735,NaN,NaN,NaN,-0.422867935152437,-0.282756933090442,0.860947864977434,0.671772817390455,-0.230719981037849,0.703910201776609,1,589.050251224665,967.994394284148,41.3343069402885,1.47604141709585
535433.7135735,NaN,NaN,NaN,-0.423063206826977,-0.282207067476742,0.861032342072847,0.671772817390455,-0.230719981037849,0.703910201776609,1,589.680351285537,967.696152323239,37.587357580583,1.71128578430543
535433.7177735,NaN,NaN,NaN,-0.423063206826977,-0.282207067476742,0.861032342072847,0.671599621261197,-0.230605413819806,0.704112982296743,1,589.649913762757,967.45974980361,34.1069439920166,1.93242353079183
535433.7219735,NaN,NaN,NaN,-0.422953666473219,-0.282540644068225,0.860976759539057,0.671599621261197,-0.230605413819806,0.704112982296743,1,589.271916078104,967.626796874755,30.883266002367,2.1398834247324
535433.7261735,NaN,NaN,NaN,-0.422953666473219,-0.282540644068225,0.860976759539057,0.671783894208331,-0.230896139304591,0.703841866001538,1,589.13819804398,967.877117859883,27.906523467877,2.33409423278798
535433.7303735,NaN,NaN,NaN,-0.422395191106914,-0.282828050819039,0.861156545698665,0.671783894208331,-0.230896139304591,0.703841866001538,1,588.600096042673,968.739063329384,25.166916561499,2.51548470080556
535433.7345735,NaN,NaN,NaN,-0.422395191106914,-0.282828050819039,0.861156545698665,0.671430358747375,-0.230945104783137,0.704163071972025,1,588.261214267857,968.254062035012,22.654644914546,2.68448361036944
535433.7387735,NaN,NaN,NaN,-0.422422851005691,-0.28268719931993,0.861189225599623,0.671430358747375,-0.230945104783137,0.704163071972025,1,588.412245027134,968.212337061198,20.3599086199779,2.84151971256573
535433.7429735,NaN,NaN,NaN,-0.422422851005691,-0.28268719931993,0.861189225599623,0.671582363959997,-0.23081815323218,0.704059733656448,1,588.661912680996,968.421477372481,18.2729077225178,2.98702176113322
535433.7471735,NaN,NaN,0,-0.42225829190215,-0.282402071636317,0.86136345688414,0.671582363959997,-0.23081815323218,0.704059733656448,1,588.866849899329,968.677730979238,16.3838419258342,3.12141853367719
535433.7513735,NaN,NaN,0,-0.42225829190215,-0.282402071636317,0.86136345688414,0.671751840193729,-0.230910880037784,0.703867622977869,1,588.915361519892,968.909480411513,14.6829113305239,3.24513878002364
535433.7555735,NaN,NaN,0,-0.422619120532805,-0.282030075017344,0.861308374361814,0.671751840193729,-0.230910880037784,0.703867622977869,1,589.446016064608,968.35445358976,13.1603158169482,3.35861126550709
535433.7597735,NaN,NaN,0,-0.422619120532805,-0.282030075017344,0.861308374361814,0.67161936078726,-0.230915490214472,0.703992521689487,1,589.33223168989,968.172816881246,11.8062552852405,3.46226475432585
